state,time,pressure,
2,41.3,100248.8314,
2,41.35,100295.5894,
2,41.4,100407.1769,
2,41.45,100408.9399,
2,41.5,100262.5042,
2,41.55,100415.8483,
2,41.6,100300.6051,
2,41.65,100321.4119,
2,41.7,100318.631,
2,41.75,100339.6573,
2,41.8,100323.5987,
2,41.85,100423.6714,
2,41.9,100382.7666,
2,41.95,100388.2385,
2,42,100353.2889,
2,42.05,100375.4171,
2,42.1,100301.7532,
2,42.15,100441.9334,
2,42.2,100428.4709,
2,42.25,100370.6892,
2,42.3,100416.162,
2,42.35,100414.4839,
2,42.4,100424.3058,
2,42.45,100407.983,
2,42.5,100465.1971,
2,42.55,100390.9022,
2,42.6,100342.3407,
2,42.65,100380.0465,
2,42.7,100355.9054,
2,42.75,100374.528,
2,42.8,100419.8194,
2,42.85,100482.2926,
2,42.9,100366.4,
2,42.95,100399.8061,
2,43,100487.2501,
2,43.05,100439.9856,
2,43.1,100412.4242,
2,43.15,100495.4678,
2,43.2,100513.847,
2,43.25,100443.5609,
2,43.3,100400.292,
2,43.35,100459.2008,
2,43.4,100425.5207,
2,43.45,100448.3871,
2,43.5,100521.5011,
2,43.55,100395.8633,
2,43.6,100526.772,
2,43.65,100450.8628,
2,43.7,100441.7631,
2,43.75,100406.1031,
2,43.8,100363.7535,
2,43.85,100484.1666,
2,43.9,100469.9685,
2,43.95,100437.6338,
2,44,100370.0313,
2,44.05,100468.414,
2,44.1,100416.4273,
2,44.15,100525.9349,
2,44.2,100489.4557,
2,44.25,100469.5562,
2,44.3,100514.0083,
2,44.35,100461.3703,
2,44.4,100510.0839,
2,44.45,100523.5485,
2,44.5,100426.8584,
2,44.55,100506.1912,
2,44.6,100502.2529,
2,44.65,100509.826,
2,44.7,100457.2441,
2,44.75,100500.5041,
2,44.8,100574.3871,
2,44.85,100590.733,
2,44.9,100504.4619,
2,44.95,100518.4388,
2,45,100406.1233,
2,45.05,100535.1486,
2,45.1,100556.9383,
2,45.15,100633.106,
2,45.2,100560.9719,
2,45.25,100604.4735,
2,45.3,100469.5303,
2,45.35,100551.7813,
2,45.4,100571.7397,
2,45.45,100584.7798,
2,45.5,100564.5165,
2,45.55,100463.0514,
2,45.6,100658.1801,
2,45.65,100453.7025,
2,45.7,100471.4713,
2,45.75,100572.3293,
2,45.8,100565.4707,
2,45.85,100531.2198,
2,45.9,100498.2207,
2,45.95,100626.5361,
2,46,100667.0439,
